Year,ESBL,ESBL,CRE,CRE,Consumption cephalosporins,Consumption cephalosporins,Consumption carbapenems,Consumption carbapenems
,"Number of isolates, ESBL",Prevalence of ESBL,"Number of isolates, CRE",Prevalence of CRE,Community,Hospital,Community,Hospital
2006,175,5,133,0,0.001,0.1154,0.0001,0.0599
2007,228,2,214,0,0.001,0.1144,0,0.0644
2008,272,4,251,0,0,0.1071,0.0001,0.085
2009,288,6,280,0,0,0.1071,0.0001,0.085
2010,367,5,351,2,0.001,0.0901,0,0.0806
2011,397,16,391,1,0.003,0.1072,0.0001,0.0937
2012,404,19,404,1,0.001,0.098,0,0.0739
2013,536,20,536,0,0.001,0.095,0.0001,0.0882
2014,550,21,550,0,0.002,0.096,0.0002,0.0807
2015,582,23,583,1,0.002,0.082,0.0001,0.0652
,644,23,658,0,,,,
,,,,,,,,
,,,,,,,,
Hospital size,584,,,,,,,
Hospital stay,11.9,,,,,,,
