Year,ESBL,ESBL,CRE,CRE,Consumption cephalosporins,Consumption cephalosporins,Consumption carbapenems,Consumption carbapenems,,,
,"Number of isolates, ESBL",Prevalence of ESBL,"Number of isolates, CRE",Prevalence of CRE,Community,Hospital,Community,Hospital,,,
2006,175,5,133,0,0.001,0.1154,0.0001,0.0599,,,
2007,228,2,214,0,0.001,0.1144,0,0.0644,,,
2008,272,4,251,0,0,0.1071,0.0001,0.085,,,
2009,288,6,280,0,0,0.1071,0.0001,0.085,,,
2010,367,5,351,2,0.001,0.0901,0,0.0806,,,
2011,397,16,391,1,0.003,0.1072,0.0001,0.0937,,,
2012,404,19,404,1,0.001,0.098,0,0.0739,,,
2013,536,20,536,0,0.001,0.095,0.0001,0.0882,,,
2014,550,21,550,0,0.002,0.096,0.0002,0.0807,,,
2015,582,23,583,1,0.002,0.082,0.0001,0.0652,,,
,644,23,658,0,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Hospital size,584,,,,,,,,,,
Hospital stay,11.9,,,,,,,,,,
,,,,,,,,,,,
Cephalosporins community,3rd gen,4th gen,Sum,Cephalosporins hospital,3rd gen,4th gen,Sum,Carbapenems community,,Carbapenems hospital,
2006,0.001,0,0.001,2006,0.115,0.0004,0.1154,2006,0.0001,2006,0.0599
2007,0.001,0,0.001,2007,0.114,0.0004,0.1144,2007,0,2007,0.0644
2008,0,0,0,2008,0.107,0.0001,0.1071,2008,0.0001,2008,0.085
2009,0,0,0,2009,0.107,0.0001,0.1071,2009,0.0001,2009,0.085
2010,0.001,0,0.001,2010,0.09,0.0001,0.0901,2010,0,2010,0.0806
2011,0.003,0,0.003,2011,0.107,0.0002,0.1072,2011,0.0001,2011,0.0937
2012,0.001,0,0.001,2012,0.098,0,0.098,2012,0,2012,0.0739
2013,0.001,0,0.001,2013,0.095,0,0.095,2013,0.0001,2013,0.0882
2014,0.002,0,0.002,2014,0.096,0,0.096,2014,0.0002,2014,0.0807
2015,0.002,0,0.002,2015,0.082,0,0.082,2015,0.0001,2015,0.0652
