Year,ESBL,ESBL,CRE,CRE,Consumption cephalosporins,Consumption cephalosporins,Consumption carbapenems,Consumption carbapenems
,"Number of isolates, ESBL",Prevalence of ESBL,"Number of isolates, CRE",Prevalence of CRE,Community,Hospital,Community,Hospital
2006,824,42,753,1,1.62,0.1547,0,0.021
2007,963,72,831,0,1.8703,0.1433,0.002,0.022
2008,1161,134,1057,1,1.7204,0.1333,0.002,0.024
2009,1138,198,1021,1,1.9005,0.1626,0.002,0.026
2010,1378,280,1268,6,1.8106,0.1922,0.002,0.027
2011,1542,297,1432,4,1.8906,0.1682,0.003,0.03
2012,1654,442,1640,2,1.6707,0.182,0.004,0.021
2013,1711,405,1627,17,1.5809,0.1912,0.004,0.033
2014,1938,575,1842,21,1.501,0.1978,0.005,0.033
2015,2192,672,2103,20,1.6014,0.2024,0.005,0.035
,2338,745,2244,20,,,,
,,,,,,,,
,,,,,,,,
Hospital size,679,,,,,,,
Hospital stay,10.5,,,,,,,
