Year,ESBL,ESBL,CRE,CRE,Consumption cephalosporins,Consumption cephalosporins,Consumption carbapenems,Consumption carbapenems,,,
,"Number of isolates, ESBL",Prevalence of ESBL,"Number of isolates, CRE",Prevalence of CRE,Community,Hospital,Community,Hospital,,,
2006,824,42,753,1,1.62,0.1547,0,0.021,,,
2007,963,72,831,0,1.8703,0.1433,0.002,0.022,,,
2008,1161,134,1057,1,1.7204,0.1333,0.002,0.024,,,
2009,1138,198,1021,1,1.9005,0.1626,0.002,0.026,,,
2010,1378,280,1268,6,1.8106,0.1922,0.002,0.027,,,
2011,1542,297,1432,4,1.8906,0.1682,0.003,0.03,,,
2012,1654,442,1640,2,1.6707,0.182,0.004,0.021,,,
2013,1711,405,1627,17,1.5809,0.1912,0.004,0.033,,,
2014,1938,575,1842,21,1.501,0.1978,0.005,0.033,,,
2015,2192,672,2103,20,1.6014,0.2024,0.005,0.035,,,
,2338,745,2244,20,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Hospital size,679,,,,,,,,,,
Hospital stay,10.5,,,,,,,,,,
,,,,,,,,,,,
Cephalosporins community,3rd gen,4th gen,Sum,Cephalosporins hospital,3rd gen,4th gen,Sum,Carbapenems community,,Carbapenems hospital,
2006,1.62,0,1.62,2006,0.152,0.0027,0.1547,2006,0,2006,0.021
2007,1.87,0.0003,1.8703,2007,0.14,0.0033,0.1433,2007,0.002,2007,0.022
2008,1.72,0.0004,1.7204,2008,0.13,0.0033,0.1333,2008,0.002,2008,0.024
2009,1.9,0.0005,1.9005,2009,0.159,0.0036,0.1626,2009,0.002,2009,0.026
2010,1.81,0.0006,1.8106,2010,0.188,0.0042,0.1922,2010,0.002,2010,0.027
2011,1.89,0.0006,1.8906,2011,0.163,0.0052,0.1682,2011,0.003,2011,0.03
2012,1.67,0.0007,1.6707,2012,0.18,0.002,0.182,2012,0.004,2012,0.021
2013,1.58,0.0009,1.5809,2013,0.185,0.0062,0.1912,2013,0.004,2013,0.033
2014,1.5,0.001,1.501,2014,0.188,0.0098,0.1978,2014,0.005,2014,0.033
2015,1.6,0.0014,1.6014,2015,0.191,0.0114,0.2024,2015,0.005,2015,0.035
