Year,ESBL,ESBL,CRE,CRE,Consumption cephalosporins,Consumption cephalosporins,Consumption carbapenems,Consumption carbapenems,
,"Number of isolates, ESBL",Prevalence of ESBL,"Number of isolates, CRE",Prevalence of CRE,Community,Hospital,Community,Hospital,
2006,311,87,300,1,0.47,0.105,0,0.016,
2007,301,61,285,2,0.36,0.1061,0,0.016,
2008,317,81,309,0,0.38,0.1091,0,0.022,
2009,369,129,360,0,0.39,0.1143,0,0.022,
2010,359,138,360,2,0.39,0.1251,0,0.026,
2011,512,235,491,29,0.37,0.1308,0,0.027,
2012,431,230,413,10,0.3401,0.1416,0,0.032,
2013,500,216,481,18,0.35,0.1439,0,0.037,
2014,557,214,531,10,0.26,0.1476,0,0.042,
2015,644,231,621,10,0.21,0.156,0,0.046,
,704,263,687,6,,,,,
,,,,,,,,,
,,,,,,,,,
Hospital size,720,,,,,,,,
Hospital stay,9.3,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,ceph_hosp,,,,,,
,,2006,0.102,0.003,0.105,2006,0.47,0,0.47
,,2007,0.104,0.0021,0.1061,2007,0.36,0,0.36
,,2008,0.107,0.0021,0.1091,2008,0.38,0,0.38
,,2009,0.112,0.0023,0.1143,2009,0.39,0,0.39
,,2010,0.123,0.0021,0.1251,2010,0.39,0,0.39
,,2011,0.129,0.0018,0.1308,2011,0.37,0,0.37
,,2012,0.14,0.0016,0.1416,2012,0.34,0.0001,0.3401
,,2013,0.142,0.0019,0.1439,2013,0.35,0,0.35
,,2014,0.146,0.0016,0.1476,2014,0.26,0,0.26
,,2015,0.154,0.002,0.156,2015,0.21,0,0.21
