Year,ESBL,ESBL,CRE,CRE,Consumption cephalosporins,Consumption cephalosporins,Consumption carbapenems,Consumption carbapenems
,"Number of isolates, ESBL",Prevalence of ESBL,"Number of isolates, CRE",Prevalence of CRE,Community,Hospital,Community,Hospital
2006,343,68,305,0,1.8512,0.23102976,0.0018,0.063125
2007,320,109,305,6,1.8385,0.1296,0.0019,0.046
2008,367,129,360,6,1.9584,0.2478,0.002,0.0644
2009,280,113,309,9,2.0586,0.25691328,0.0005,0.063125
2010,272,103,304,4,1.9884,0.2502,0,0.0686
2011,701,331,731,116,1.979,0.254,0,0.0394
2012,627,299,615,182,1.8893,0.2836,0,0.0735
2013,852,420,845,265,2.038,0.279,0,0.0764
2014,1441,813,1453,523,1.9583,0.2644,0,0.0806
2015,1319,763,1315,477,1.9777,0.2425,0,0.0561
,1999,1146,1999,713,,,,
,,,,,,,,
,,,,,,,,
Hospital size,362,,,,,,,
Hospital stay,7.9,,,,,,,
