Year,ESBL,ESBL,CRE,CRE,Consumption cephalosporins,Consumption cephalosporins,Consumption carbapenems,Consumption carbapenems,,,
,"Number of isolates, ESBL",Prevalence of ESBL,"Number of isolates, CRE",Prevalence of CRE,Community,Hospital,Community,Hospital,,,
2006,256,9,230,0,0.007,0.059,0.0003,0.018583333,,,
2007,397,14,329,1,0.0084,0.059,0.0004,0.018583333,,,
2008,422,31,336,0,0.0086,0.059,0.0005,0.018583333,,,
2009,462,36,420,1,0.0078,0.059,0.0004,0.018583333,,,
2010,400,24,398,0,0.0071,0.05,0.0005,0.0152,,,
2011,641,46,640,2,0.0078,0.05,0.0005,0.0179,,,
2012,720,58,722,2,0.0064,0.057,0.0009,0.0185,,,
2013,683,47,684,1,0.0072,0.062,0.0008,0.0199,,,
2014,644,49,646,2,0.0081,0.066,0.0012,0.0193,,,
2015,911,54,903,2,0.0081,0.067,0.0013,0.0207,,,
,908,80,907,1,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Hospital size,472,,,,,,,,,,
Hospital stay,10.8,,,,,,,,,,
,,,,,,,,,,,
Cephalosporins community,3rd gen,4th gen,Sum,Cephalosporins hospital,3rd gen,4th gen,Sum,Carbapenems community,,Carbapenems hospital,
2006,0.007,0,0.007,2006,-,-,0.059,2006,0.0003,2006,0.018583333
2007,0.0084,0,0.0084,2007,-,-,0.059,2007,0.0004,2007,0.018583333
2008,0.0086,0,0.0086,2008,-,-,0.059,2008,0.0005,2008,0.018583333
2009,0.0078,0,0.0078,2009,-,-,0.059,2009,0.0004,2009,0.018583333
2010,0.0071,0,0.0071,2010,0.05,0,0.05,2010,0.0005,2010,0.0152
2011,0.0078,0,0.0078,2011,0.05,0,0.05,2011,0.0005,2011,0.0179
2012,0.0064,0,0.0064,2012,0.057,0,0.057,2012,0.0009,2012,0.0185
2013,0.0072,0,0.0072,2013,0.062,0,0.062,2013,0.0008,2013,0.0199
2014,0.0081,0,0.0081,2014,0.066,0,0.066,2014,0.0012,2014,0.0193
2015,0.0081,0,0.0081,2015,0.067,0,0.067,2015,0.0013,2015,0.0207
,,,,,,,Sum of full reported years,,,,Sum of full reported years
,,,,,,,0.352,,,,0.1115
,,,,,,,Mean value for full reeported years,,,,Mean value for full reeported years
,,,,,,,0.059,,,,0.018583333
