Year,ESBL,ESBL,CRE,CRE,Consumption cephalosporins,Consumption cephalosporins,Consumption carbapenems,Consumption carbapenems,,,
,"Number of isolates, ESBL",Prevalence of ESBL,"Number of isolates, CRE",Prevalence of CRE,Community,Hospital,Community,Hospital,,,
2006,193,8,161,1,0.0021,0.112,0.0012,0.0334,,,
2007,263,8,221,2,0.0026,0.116,0.0009,0.0374,,,
2008,320,12,274,0,0.003,0.119,0.0013,0.0396,,,
2009,349,14,297,2,0.0042,0.129,0.0021,0.0415,,,
2010,396,20,352,2,0.0048,0.132,0.0015,0.0436,,,
2011,479,13,448,0,0.0041,0.137,0.0017,0.0436,,,
2012,421,16,443,1,0.005,0.139,0.0014,0.0446,,,
2013,621,37,623,3,0.007,0.132,0.0019,0.0459,,,
2014,645,32,645,1,0.0061,0.126,0.0014,0.0473,,,
2015,746,54,746,1,0.0061,0.124,0.0017,0.0386,,,
,701,50,700,1,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Hospital size,436,,,,,,,,,,
Hospital stay,6.8,,,,,,,,,,
,,,,,,,,,,,
Cephalosporins community,3rd gen,4th gen,Sum,Cephalosporins hospital,3rd gen,4th gen,Sum,Carbapenems community,,Carbapenems hospital,
2006,0.0021,0,0.0021,2006,0.112,0,0.112,2006,0.0012,2006,0.0334
2007,0.0026,0,0.0026,2007,0.116,0,0.116,2007,0.0009,2007,0.0374
2008,0.003,0,0.003,2008,0.119,0,0.119,2008,0.0013,2008,0.0396
2009,0.0042,0,0.0042,2009,0.129,0,0.129,2009,0.0021,2009,0.0415
2010,0.0048,0,0.0048,2010,0.132,0,0.132,2010,0.0015,2010,0.0436
2011,0.0041,0,0.0041,2011,0.137,0,0.137,2011,0.0017,2011,0.0436
2012,0.005,0,0.005,2012,0.139,0,0.139,2012,0.0014,2012,0.0446
2013,0.007,0,0.007,2013,0.132,0,0.132,2013,0.0019,2013,0.0459
2014,0.0061,0,0.0061,2014,0.126,0,0.126,2014,0.0014,2014,0.0473
2015,0.0061,0,0.0061,2015,0.124,0,0.124,2015,0.0017,2015,0.0386
