Year,ESBL,ESBL,CRE,CRE,Consumption cephalosporins,Consumption cephalosporins,Consumption carbapenems,Consumption carbapenems
,"Number of isolates, ESBL",Prevalence of ESBL,"Number of isolates, CRE",Prevalence of CRE,Community,Hospital,Community,Hospital
2006,0,0,0,0,0.377,0.138842857,0,0.139285714
2007,303,65,0,0,0.3685,0.138842857,0,0.139285714
2008,345,63,57,0,0.36,0.138842857,0,0.139285714
2009,533,155,138,1,0.379,0.1296,0,0.134
2010,556,160,485,4,0.366,0.1285,0,0.141
2011,580,178,443,7,0.327,0.1352,0,0.139
2012,616,223,580,3,0.227,0.138,0,0.143
2013,781,321,749,6,0.188,0.1421,0,0.146
2014,911,353,904,22,0.18,0.1461,0,0.139
2015,1712,735,1701,36,0.192,0.1524,0,0.133
,2094,893,2085,78,,,,
,,,,,,,,
,,,,,,,,
Hospital size,339,,,,,,,
Hospital stay,8.7,,,,,,,
