,Fitness cost ESBL,Fitness cost CRK (additional),Import ESBL,Import CRK,mu,Colonization rate,Hospital transmission rate in Croatia,Hospital transmission rate in Denmark,Hospital transmission rate in Finland,Hospital transmission rate in France,Hospital transmission rate in Greece,Hospital transmission rate in Hungary,Hospital transmission rate in Italy,Hospital transmission rate in Netherlands,Hospital transmission rate in Norway,Hospital transmission rate in Portugal,Hospital transmission rate in Sweden,Initial prevalence of ESBL strain in Croatia,Initial prevalence of ESBL strain in Denmark,Initial prevalence of ESBL strain in Finland,Initial prevalence of ESBL strain in France,Initial prevalence of ESBL strain in Greece,Initial prevalence of ESBL strain in Hungary,Initial prevalence of ESBL strain in Italy,Initial prevalence of ESBL strain in Netherlands,Initial prevalence of ESBL strain in Norway,Initial prevalence of ESBL strain in Portugal,Initial prevalence of ESBL strain in Sweden,Initial prevalence of CR strain in Croatia,Initial prevalence of CR strain in Denmark,Initial prevalence of CR strain in Finland,Initial prevalence of CR strain in France,Initial prevalence of CR strain in Greece,Initial prevalence of CR strain in Hungary,Initial prevalence of CR strain in Italy,Initial prevalence of CR strain in Netherlands,Initial prevalence of CR strain in Norway,Initial prevalence of CR strain in Portugal,Initial prevalence of CR strain in Sweden,Super-colonization rate
Fit without Croatia,-4.670756993,-2543.727959,-316.7131699,-935.2098244,-29.49860159,576.8798531,-0.051260535,516.8827931,815.4944728,247.4233002,334.5918824,-386.1988786,1235.795766,-49.30857611,-318.0975922,129.3497335,427.9853461,-0.406289991,-2.737327319,-19.94161414,-3.396979756,0.303448598,-0.70493233,-1.936642664,-5.618564233,-11.83074662,-1.189427063,-13.12869165,-16.1296204,-24.66849014,-36.70448703,-16.93004502,0.861992817,-7.810472421,-0.610546061,-14.10690535,-9.380135509,-408.5261722,-19.90360243,-221.2113294
Fit without Denmark,-3.621631754,-2538.802498,-274.9959273,-932.5333671,-29.12010107,681.2227487,0.00720219,516.8827931,815.4944728,247.4233002,334.5918824,-386.1988786,1235.795766,-49.30857611,-318.0975922,129.3497335,427.9853461,-0.392275708,-2.912781036,-19.55524632,-3.307395852,0.324184346,-0.662166275,-1.927348656,-5.396676125,-11.71712467,-1.146385416,-12.89677872,-14.06124303,-27.36816079,-40.46095958,-17.15724111,0.847172792,-7.853259129,-0.664188851,-14.19389417,-9.744653452,-697.3921889,-21.33244062,-223.3403773
Fit without Finland,-3.678498558,-2539.291529,-281.4133779,-934.1165239,-26.6754239,680.8118979,-0.011162296,516.8827931,815.4944728,247.4233002,334.5918824,-386.1988786,1235.795766,-49.30857611,-318.0975922,129.3497335,427.9853461,-0.399570961,-2.623995875,-21.14368751,-3.370186982,0.319794483,-0.670965893,-1.953677339,-5.456570664,-11.88007549,-1.160271104,-12.99219319,-14.18436828,-25.01933222,-28.84631614,-17.30667697,0.844957598,-7.881393186,-0.679665391,-14.26424971,-9.837470525,-820.492737,-21.59716251,-223.2101169
Fit without France,-4.446177594,-2540.862028,-267.1870306,-933.4609879,-163.9940571,626.615896,0.34754372,516.8827931,815.4944728,247.4233002,334.5918824,-386.1988786,1235.795766,-49.30857611,-318.0975922,129.3497335,427.9853461,-0.379510338,-2.733912323,-18.23659727,-3.648801269,0.320913254,-0.654890945,-1.875511822,-5.396228762,-12.06789336,-1.159854313,-13.86968682,-13.33002739,-26.15983162,-29.82271422,-16.84140127,0.873746156,-7.701025607,-0.5707575,-13.85195044,-9.591207295,-331.4672202,-22.53059219,-222.1994433
Fit without Greece,-4.220498183,-2539.664987,-225.4884229,-928.6448503,-13.35503475,566.274989,-0.328914421,516.8827931,815.4944728,247.4233002,334.5918824,-386.1988786,1235.795766,-49.30857611,-318.0975922,129.3497335,427.9853461,-0.405622045,-2.661218476,-20.60351601,-3.420480329,0.255877397,-0.691045952,-1.732664799,-5.578887721,-10.97151887,-1.089086749,-12.04945374,-13.84173029,-23.38933509,-45.16183044,-17.24903725,0.822482266,-7.844496613,-0.535103028,-14.22791239,-9.004840053,-346.3136362,-17.50520397,-223.1479991
Fit without Hungary,-3.759176116,-2537.865734,-249.7462616,-930.1002821,-34.51847994,689.1874931,0.056345749,516.8827931,815.4944728,247.4233002,334.5918824,-386.1988786,1235.795766,-49.30857611,-318.0975922,129.3497335,427.9853461,-0.395632878,-2.638064431,-19.4324065,-3.296352373,0.318180709,-0.756478117,-1.947359585,-5.41590644,-11.8654626,-1.161053809,-13.1230681,-13.98276072,-25.24550563,-39.05796897,-17.05318221,0.847484866,-7.008255652,-0.662399393,-14.14781208,-9.762798585,-650.589572,-21.69435232,-223.6585832
Fit without Italy,-6.957859369,-2535.776059,-225.3390951,-924.2599866,-274.9972848,629.7445739,0.366792552,516.8827931,815.4944728,247.4233002,334.5918824,-386.1988786,1235.795766,-49.30857611,-318.0975922,129.3497335,427.9853461,-0.433538016,-2.937675996,-19.68971877,-3.313788178,0.279975753,-0.724195953,-2.279371949,-5.815225762,-13.0565889,-1.268889454,-15.00138377,-13.27031273,-26.72611581,-29.75071629,-16.3310562,0.881856565,-7.712215584,-0.719309754,-13.92582951,-9.655603109,-298.5000741,-23.03510663,-224.6304201
Fit without Netherlands,-3.801178824,-2538.6039,-255.5424088,-931.2756402,-36.10551174,691.7958823,0.066056639,516.8827931,815.4944728,247.4233002,334.5918824,-386.1988786,1235.795766,-49.30857611,-318.0975922,129.3497335,427.9853461,-0.396050672,-2.644411314,-19.3701119,-3.288651708,0.3172315,-0.666592186,-1.947021024,-6.351848155,-11.87147463,-1.162994303,-13.15478401,-13.94408007,-25.23090189,-38.24522438,-17.01024214,0.848362299,-7.830820532,-0.658274787,-12.56122939,-9.74182003,-622.9136125,-21.65772856,-223.3826021
Fit without Norway,-4.580250174,-2533.357396,-206.4717642,-925.6777084,-368.0339379,721.8666253,0.619343689,516.8827931,815.4944728,247.4233002,334.5918824,-386.1988786,1235.795766,-49.30857611,-318.0975922,129.3497335,427.9853461,-0.387687331,-2.77958811,-19.45693788,-3.206636872,0.308749251,-0.665822968,-1.99823396,-5.552402448,-16.02448114,-1.216425101,-15.18157725,-13.75822883,-27.98753394,-34.26519462,-16.65782115,0.86509791,-7.785364572,-0.63790342,-14.08687123,-9.018555813,-682.7435812,-27.57210223,-225.6866025
Fit without Portugal,-3.322682663,-2530.662868,-173.2784595,-919.0012933,-446.5461811,728.9684653,1.226851511,516.8827931,815.4944728,247.4233002,334.5918824,-386.1988786,1235.795766,-49.30857611,-318.0975922,129.3497335,427.9853461,-0.344720631,-2.629917967,-20.27631776,-3.19136272,0.335589708,-0.611789311,-2.064897271,-5.379198199,-14.51935295,-1.3134013,-16.2838136,-14.73961112,-30.69559615,-48.10439237,-17.39435925,0.838855958,-7.939094831,-0.779119872,-14.48499258,-12.38698806,-394.511702,-42.2039186,-226.5949247
Fit without Sweden,-5.016536622,-2530.606538,-172.5383627,-918.6709136,-448.829352,729.8172762,0.500010826,516.8827931,815.4944728,247.4233002,334.5918824,-386.1988786,1235.795766,-49.30857611,-318.0975922,129.3497335,427.9853461,-0.391235998,-2.810773092,-18.95544987,-3.158288814,0.309132744,-0.672316802,-1.932548417,-5.553294459,-12.80372679,-1.202540273,-15.93254204,-13.4083547,-27.10150833,-30.50090446,-16.36549501,0.878024671,-7.720557319,-0.580075099,-13.93490905,-9.909458278,-393.5240287,-22.34967287,-226.6485635
Original fit with all countries,-3.880946014,-2543.030235,-314.5180386,-938.768789,-34.67983168,596.8753936,0.050084287,516.8827931,815.4944728,247.4233002,334.5918824,-386.1988786,1235.795766,-49.30857611,-318.0975922,129.3497335,427.9853461,-0.399382903,-2.652734274,-19.46742408,-3.307790308,0.316275543,-0.671034608,-1.948815364,-5.444937959,-11.87433332,-1.166737662,-13.14503265,-13.93966826,-25.20540862,-38.92950319,-17.02620788,0.849216486,-7.832528656,-0.656355526,-14.12930421,-9.718960242,-612.6238904,-21.49791751,-221.4630656
