,Fitness cost ESBL,Fitness cost CRK (additional),Import ESBL,Import CRK,mu,Colonization rate,Hospital transmission rate in Croatia,Hospital transmission rate in Denmark,Hospital transmission rate in Finland,Hospital transmission rate in France,Hospital transmission rate in Greece,Hospital transmission rate in Hungary,Hospital transmission rate in Italy,Hospital transmission rate in Netherlands,Hospital transmission rate in Norway,Hospital transmission rate in Portugal,Hospital transmission rate in Sweden,Initial prevalence of ESBL strain in Croatia,Initial prevalence of ESBL strain in Denmark,Initial prevalence of ESBL strain in Finland,Initial prevalence of ESBL strain in France,Initial prevalence of ESBL strain in Greece,Initial prevalence of ESBL strain in Hungary,Initial prevalence of ESBL strain in Italy,Initial prevalence of ESBL strain in Netherlands,Initial prevalence of ESBL strain in Norway,Initial prevalence of ESBL strain in Portugal,Initial prevalence of ESBL strain in Sweden,Initial prevalence of CR strain in Croatia,Initial prevalence of CR strain in Denmark,Initial prevalence of CR strain in Finland,Initial prevalence of CR strain in France,Initial prevalence of CR strain in Greece,Initial prevalence of CR strain in Hungary,Initial prevalence of CR strain in Italy,Initial prevalence of CR strain in Netherlands,Initial prevalence of CR strain in Norway,Initial prevalence of CR strain in Portugal,Initial prevalence of CR strain in Sweden,Super-colonization rate
Fit without Croatia,-2.36815667,-14.12711958,-0.59818054,-48.09607854,-336.9571057,3.705748825,-0.789967486,-0.836722519,-35.05786096,-1.051592222,0.563499175,-1.00646243,-0.195963662,-1.885337517,-1.579887304,-0.417923775,-1.282184956,-0.276731966,-3.38961628,-25.18229671,-4.001415662,0.296040803,-0.80027398,-1.720389011,-6.262790689,-10.9694602,-1.44642114,-25.83762895,-24.1241546,-16.32004698,-2.62623449,-14.69734078,-0.22480941,-9.691716609,-3.29131835,-7.798484875,-2.569266149,-575.0378982,-3.673087387,565.1389588
Fit without Denmark,-2.286874737,-13.63651721,-0.581623236,-64.33948787,-461.6460625,3.678315888,-0.780716322,-0.826667342,-27.51946064,-1.044733316,0.578625242,-0.997211395,-0.189030787,-1.846998003,-1.538538184,-0.405454296,-1.241482189,-0.277228274,-3.393658492,-24.62319708,-4.013344898,0.296410598,-0.801764314,-1.714321731,-6.281542973,-11.01136245,-1.468865187,-25.96100835,-24.03636714,-15.69548821,-2.340272996,-14.04228683,-0.23139215,-9.674832331,-3.414601742,-7.222919535,-2.464516745,-575.8470241,-3.125180121,566.1274938
Fit without Finland,-2.560462728,-16.1553497,-0.418782168,-36.60802022,-329.3274946,3.579208871,-0.817734933,-1.057938235,-35.51467354,-1.096766382,0.51194459,-1.047354855,-0.222035564,-2.316409488,-2.345558613,-0.447435077,-3.494536825,-0.278244404,-3.390550211,-24.32910098,-4.022678616,0.297142386,-0.802421383,-1.720070891,-6.282039992,-11.08732779,-1.45807423,-29.27977553,-24.62193632,-17.85794047,-2.532391856,-15.28489147,-0.230267938,-9.838916668,-3.255376705,-8.055231695,-2.336352919,-572.6316707,-3.147952804,565.0856831
Fit without France,-2.281901662,-12.47556215,-0.671109853,-62.70654991,-378.4803552,3.828444514,-0.770547647,-0.748815966,-34.17640925,-1.05406717,0.624457804,-0.979777312,-0.171352868,-1.743439207,-1.399224029,-0.39188932,-1.047569144,-0.278179154,-3.391973072,-22.53170049,-4.005292303,0.291290715,-0.800147328,-1.743830918,-6.265265497,-10.95949453,-1.465536134,-25.18332469,-22.68834337,-15.06986061,-2.532818613,-14.41662017,-0.215625933,-9.337386949,-3.237844275,-7.324349934,-2.561076256,-561.7576707,-3.493917734,565.4641158
Fit without Greece,-45.52851149,-202.596932,-1.103108873,-33.34164289,-351.0185116,1.531306476,-1.045182781,-3.252464172,-57.01860066,-1.612413612,0.555321055,-1.436729483,-0.413782178,-4.923943325,-3.728791619,-0.745312402,-2.797644586,-0.323453407,-3.369395224,-23.70689327,-4.337897549,0.297384981,-0.91199005,-1.686235805,-6.216064323,-11.02303577,-1.688642903,-25.24140546,-50.39878981,-13.80266838,-2.917299593,-11.78216399,-0.229852798,-10.18139808,-31.65201512,-7.086228301,-1.999379074,-599.6005046,-4.034123122,566.3502459
Fit without Hungary,-2.071176799,-13.27661694,-0.563951712,-80.8405753,-371.3124741,3.853823766,-0.751922653,-0.697173644,-33.24350821,-1.000883694,0.589023292,-1.007892263,-0.171667988,-1.709777595,-1.408364596,-0.380828101,-1.106975356,-0.272978296,-3.403612362,-23.89972222,-4.006893738,0.301829938,-0.800800133,-1.69082724,-6.291714786,-10.9991575,-1.432909284,-25.89187677,-24.22084348,-14.87728779,-2.233672981,-14.19067313,-0.219125882,-9.746040802,-3.332180701,-7.122153718,-2.502395,-591.4194265,-3.018485887,565.3728989
Fit without Italy,-7.672613241,-34.13375346,-0.920039508,-17.93473281,-327.2287524,4.598694134,-1.003739456,-4.046392226,-34.93906607,-1.170016641,0.466702573,-1.215416251,-0.199536113,-4.213294384,-3.37051877,-0.45242992,-2.666623483,-0.270910844,-3.282136596,-27.79785621,-3.807367236,0.257704156,-0.779607275,-1.711891889,-6.063865907,-10.6413297,-1.678010304,-25.00531955,-15.69552183,-52.41604215,-21.06904449,-18.46241616,-0.047336435,-8.253678865,-3.365275526,-15.61149715,-3.492051861,-563.1964548,-35.22928904,565.0734365
Fit without Netherlands,-2.293085186,-13.64134407,-0.594400901,-51.01150307,-619.6542266,3.689304864,-0.780475636,-0.806901587,-25.2219612,-1.043298404,0.581665464,-0.996586743,-0.187005874,-1.870562824,-1.535958482,-0.406918048,-1.238668644,-0.276847722,-3.393087508,-24.46684047,-4.008570485,0.296369375,-0.801224515,-1.714374977,-6.268436491,-10.9817822,-1.457086658,-25.75936853,-24.15456838,-16.13398711,-2.606234023,-14.54481455,-0.230168485,-9.722631658,-3.395974044,-7.510093846,-2.543859582,-640.224869,-3.538998683,567.1869476
Fit without Norway,-2.697058201,-16.66993991,-0.687723866,-36.05070845,-329.4928044,3.592412425,-0.824767201,-0.953115983,-35.49016583,-1.093776047,0.5038838,-1.052501256,-0.22607911,-2.016128992,-1.564945216,-0.449861501,-1.317995409,-0.276989552,-3.373649462,-24.14258731,-3.982781411,0.297606865,-0.800046823,-1.715274356,-6.220908355,-10.99716944,-1.449182096,-25.29780556,-24.31771743,-19.58343815,-3.564046576,-15.9748812,-0.228418556,-9.896940514,-3.217451128,-8.886975095,-2.539545486,-572.7769097,-5.03870966,565.0860943
Fit without Portugal,-0.321754839,-3.299594748,0.400239524,-13.30321166,-328.2683685,6.179969304,-0.130038442,0.587477222,-2.202741284,-0.344760208,103.3655773,-0.226080713,0.51718366,-0.626127937,-0.49708418,-0.416680228,-0.574706038,-0.220171589,-3.489681362,-25.84611954,-4.272387993,0.327264803,-0.776681142,-1.528582146,-6.564970557,-11.34402815,-1.457103076,-29.3742631,-46.09344579,-99.85548737,-4.081358716,-22.74156418,-0.248539316,-12.40139999,-8.843082197,-10.01778903,-2.092497247,-571.9487829,-5.460908757,565.3147985
Fit without Sweden,-2.345695652,-14.31667535,-0.593971055,-57.32694612,-325.4685341,3.66918718,-0.789639073,-0.828781063,-35.514488,-1.053538421,0.554971816,-1.007166652,-0.198995779,-1.876835473,-1.567806395,-0.415983776,-1.240197524,-0.276429945,-3.394780545,-24.34699489,-4.007211923,0.297608124,-0.800775995,-1.711469421,-6.270703604,-10.99254083,-1.458112053,-25.75808352,-24.12718287,-15.69474679,-2.525315376,-14.41491264,-0.229841753,-9.756257046,-3.367720436,-7.504527672,-2.520274227,-571.9495454,-3.395285159,565.0588237
Original fit with all countries,-2.355635163,-14.31966739,-0.608154224,-57.31268781,-325.4770348,3.665548289,-0.790347641,-0.828926719,-35.51424834,-1.054347731,0.555053431,-1.008180519,-0.199506543,-1.869527609,-1.554149087,-0.416442769,-1.236894665,-0.276593356,-3.392008296,-24.33592381,-4.005353904,0.297425048,-0.800837528,-1.711632632,-6.268352157,-10.97888977,-1.459008433,-25.75487953,-24.12568089,-15.69692581,-2.523284696,-14.41719195,-0.23018054,-9.750823675,-3.367133249,-7.51056931,-2.542960589,-571.9512146,-3.413127705,565.0588829
