Year,ESBL,ESBL,CRE,CRE,Consumption cephalosporins,Consumption cephalosporins,Consumption carbapenems,Consumption carbapenems
,"Number of isolates, ESBL",Prevalence of ESBL,"Number of isolates, CRE",Prevalence of CRE,Community,Hospital,Community,Hospital
2006,282,4,0,0,0.022,0.0385,0.0009,0.045
2007,621,12,0,0,0.022,0.0395,0.001,0.039
2008,649,11,525,0,0.025,0.0603,0.0011,0.048
2009,825,19,639,1,0.026,0.0881,0.0008,0.049
2010,0,0,0,0,0.029,0.0911,0.0002,0.052
2011,842,26,708,3,0.02901,0.0951,0.0002,0.052
2012,943,28,941,0,0.027,0.104,0.0003,0.053
2013,977,36,977,1,0.032,0.105,0.0002,0.056
2014,1300,56,1269,0,0.028,0.103,0.0003,0.053
2015,1000,58,978,2,0.032,0.109,0.0003,0.05
,1001,42,900,1,,,,
,,,,,,,,
,,,,,,,,
Hospital size,272,,,,,,,
Hospital stay,6.1,,,,,,,
