Year,ESBL,ESBL,CRE,CRE,Consumption cephalosporins,Consumption cephalosporins,Consumption carbapenems,Consumption carbapenems,,,
,"Number of isolates, ESBL",Prevalence of ESBL,"Number of isolates, CRE",Prevalence of CRE,Community,Hospital,Community,Hospital,,,
2006,282,4,0,0,0.022,0.0385,0.0009,0.045,,,
2007,621,12,0,0,0.022,0.0395,0.001,0.039,,,
2008,649,11,525,0,0.025,0.0603,0.0011,0.048,,,
2009,825,19,639,1,0.026,0.0881,0.0008,0.049,,,
2010,0,0,0,0,0.029,0.0911,0.0002,0.052,,,
2011,842,26,708,3,0.02901,0.0951,0.0002,0.052,,,
2012,943,28,941,0,0.027,0.104,0.0003,0.053,,,
2013,977,36,977,1,0.032,0.105,0.0002,0.056,,,
2014,1300,56,1269,0,0.028,0.103,0.0003,0.053,,,
2015,1000,58,978,2,0.032,0.109,0.0003,0.05,,,
,1001,42,900,1,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Hospital size,272,,,,,,,,,,
Hospital stay,6.1,,,,,,,,,,
,,,,,,,,,,,
Cephalosporins community,3rd gen,4th gen,Sum,Cephalosporins hospital,3rd gen,4th gen,Sum,Carbapenems community,,Carbapenems hospital,
2006,0.022,0,0.022,2006,0.038,0.0005,0.0385,2006,0.0009,2006,0.045
2007,0.022,0,0.022,2007,0.039,0.0005,0.0395,2007,0.001,2007,0.039
2008,0.025,0,0.025,2008,0.06,0.0003,0.0603,2008,0.0011,2008,0.048
2009,0.026,0,0.026,2009,0.088,0.0001,0.0881,2009,0.0008,2009,0.049
2010,0.029,0,0.029,2010,0.091,0.0001,0.0911,2010,0.0002,2010,0.052
2011,0.029,0.00001,0.02901,2011,0.095,0.0001,0.0951,2011,0.0002,2011,0.052
2012,0.027,0,0.027,2012,0.104,0,0.104,2012,0.0003,2012,0.053
2013,0.032,0,0.032,2013,0.105,0,0.105,2013,0.0002,2013,0.056
2014,0.028,0,0.028,2014,0.103,0,0.103,2014,0.0003,2014,0.053
2015,0.032,0,0.032,2015,0.109,0,0.109,2015,0.0003,2015,0.05
